iter	Passed	Remaining
0	118	59126
1	143	35789
2	159	26430
3	175	21742
4	199	19788
5	219	18047
6	240	16909
7	259	15955
8	279	15257
9	333	16332
10	387	17235
11	464	18888
12	529	19835
13	579	20113
14	628	20332
15	651	19714
16	667	18976
17	710	19016
18	743	18812
19	762	18304
20	806	18395
21	831	18056
22	859	17833
23	877	17394
24	909	17276
25	942	17190
26	993	17396
27	1033	17417
28	1105	17953
29	1146	17968
30	1176	17799
31	1203	17599
32	1223	17316
33	1248	17115
34	1262	16778
35	1285	16568
36	1306	16350
37	1326	16123
38	1348	15942
39	1365	15701
40	1406	15743
41	1424	15530
42	1443	15342
43	1459	15130
44	1480	14973
45	1503	14839
46	1523	14687
47	1541	14514
48	1580	14547
49	1602	14420
50	1634	14390
51	1654	14257
52	1703	14365
53	1754	14491
54	1788	14467
55	1812	14371
56	1839	14295
57	1863	14197
58	1882	14069
59	1901	13947
60	1922	13833
61	1945	13741
62	1972	13681
63	1994	13585
64	2014	13481
65	2040	13418
66	2057	13300
67	2077	13196
68	2097	13102
69	2118	13012
70	2138	12919
71	2160	12841
72	2179	12751
73	2201	12671
74	2234	12663
75	2256	12589
76	2272	12483
77	2287	12375
78	2312	12321
79	2330	12232
80	2347	12142
81	2370	12085
82	2392	12018
83	2411	11944
84	2434	11884
85	2456	11825
86	2477	11759
87	2495	11683
88	2515	11615
89	2533	11539
90	2551	11465
91	2569	11394
92	2589	11332
93	2609	11271
94	2632	11224
95	2668	11231
96	2687	11166
97	2708	11111
98	2732	11067
99	2752	11008
100	2774	10962
101	2795	10909
102	2822	10880
103	2841	10820
104	2857	10747
105	2878	10700
106	2901	10657
107	2922	10606
108	2944	10561
109	2967	10521
110	2988	10472
111	3035	10516
112	3107	10643
113	3167	10724
114	3253	10893
115	3297	10914
116	3332	10907
117	3404	11021
118	3448	11040
119	3494	11066
120	3532	11064
121	3585	11109
122	3752	11501
123	3869	11733
124	3915	11745
125	3934	11677
126	3956	11621
127	3995	11612
128	4018	11557
129	4045	11513
130	4068	11459
131	4093	11412
132	4112	11347
133	4125	11268
134	4155	11235
135	4172	11166
136	4192	11108
137	4211	11046
138	4228	10981
139	4246	10918
140	4264	10857
141	4278	10787
142	4295	10724
143	4312	10661
144	4335	10615
145	4355	10561
146	4374	10503
147	4403	10473
148	4442	10464
149	4462	10412
150	4484	10365
151	4501	10304
152	4518	10248
153	4538	10198
154	4565	10160
155	4588	10118
156	4607	10066
157	4630	10022
158	4646	9965
159	4662	9908
160	4682	9860
161	4701	9808
162	4721	9761
163	4767	9768
164	4787	9719
165	4815	9689
166	4836	9643
167	4867	9619
168	4910	9617
169	4918	9548
170	4928	9482
171	4937	9416
172	4945	9348
173	4951	9277
174	4959	9211
175	4965	9140
176	4971	9072
177	4978	9005
178	4985	8939
179	4992	8875
180	4999	8811
181	5006	8748
182	5013	8685
183	5019	8620
184	5026	8558
185	5032	8495
186	5037	8431
187	5044	8372
188	5050	8310
189	5059	8254
190	5064	8194
191	5072	8136
192	5080	8081
193	5090	8028
194	5096	7970
195	5101	7912
196	5110	7860
197	5117	7804
198	5125	7752
199	5131	7697
200	5138	7644
201	5145	7590
202	5151	7537
203	5160	7487
204	5166	7434
205	5176	7388
206	5190	7347
207	5197	7296
208	5205	7247
209	5212	7197
210	5218	7147
211	5225	7099
212	5232	7050
213	5240	7004
214	5248	6956
215	5256	6911
216	5262	6863
217	5269	6816
218	5274	6768
219	5281	6721
220	5288	6676
221	5295	6630
222	5302	6586
223	5307	6539
224	5313	6494
225	5320	6450
226	5330	6410
227	5338	6369
228	5345	6326
229	5353	6285
230	5360	6241
231	5366	6199
232	5373	6157
233	5379	6115
234	5386	6073
235	5392	6032
236	5401	5993
237	5408	5954
238	5416	5914
239	5423	5875
240	5430	5836
241	5438	5797
242	5443	5757
243	5452	5720
244	5462	5685
245	5468	5646
246	5475	5608
247	5485	5573
248	5491	5535
249	5501	5501
250	5507	5463
251	5515	5428
252	5521	5390
253	5527	5353
254	5534	5317
255	5540	5281
256	5548	5246
257	5555	5210
258	5562	5176
259	5569	5140
260	5576	5106
261	5585	5074
262	5594	5041
263	5602	5008
264	5608	4973
265	5614	4939
266	5621	4905
267	5628	4872
268	5635	4839
269	5642	4806
270	5650	4774
271	5685	4765
272	5736	4769
273	5815	4796
274	5838	4777
275	5856	4753
276	5873	4728
277	5890	4703
278	5914	4684
279	5934	4662
280	5953	4639
281	5972	4617
282	6006	4605
283	6026	4583
284	6046	4561
285	6068	4540
286	6090	4520
287	6109	4497
288	6129	4475
289	6153	4456
290	6169	4431
291	6188	4407
292	6208	4385
293	6225	4362
294	6247	4341
295	6264	4317
296	6283	4295
297	6302	4271
298	6316	4245
299	6336	4224
300	6352	4199
301	6370	4176
302	6392	4156
303	6422	4140
304	6441	4118
305	6460	4095
306	6479	4073
307	6496	4050
308	6515	4027
309	6535	4005
310	6560	3986
311	6581	3965
312	6597	3941
313	6613	3917
314	6630	3893
315	6645	3869
316	6662	3845
317	6685	3826
318	6702	3803
319	6721	3780
320	6738	3757
321	6757	3735
322	6779	3715
323	6798	3692
324	6825	3675
325	6846	3654
326	6865	3632
327	6884	3610
328	6903	3587
329	6923	3566
330	6942	3544
331	6966	3525
332	6994	3507
333	7014	3486
334	7034	3464
335	7053	3442
336	7076	3422
337	7099	3402
338	7122	3382
339	7144	3361
340	7165	3341
341	7185	3319
342	7208	3299
343	7235	3281
344	7259	3261
345	7276	3238
346	7294	3216
347	7315	3195
348	7336	3174
349	7360	3154
350	7379	3132
351	7401	3112
352	7423	3091
353	7443	3069
354	7460	3047
355	7479	3025
356	7498	3003
357	7519	2982
358	7535	2959
359	7557	2939
360	7576	2917
361	7596	2895
362	7613	2873
363	7631	2851
364	7659	2833
365	7675	2810
366	7693	2788
367	7712	2766
368	7734	2745
369	7753	2724
370	7771	2702
371	7791	2680
372	7810	2659
373	7825	2636
374	7894	2631
375	7920	2612
376	7944	2591
377	7951	2566
378	7959	2541
379	7967	2516
380	7977	2491
381	7985	2466
382	7991	2441
383	8001	2417
384	8008	2392
385	8015	2367
386	8022	2342
387	8031	2318
388	8036	2293
389	8048	2270
390	8054	2245
391	8064	2221
392	8070	2197
393	8078	2173
394	8085	2149
395	8094	2125
396	8099	2101
397	8105	2077
398	8112	2053
399	8118	2029
400	8128	2006
401	8135	1983
402	8142	1959
403	8148	1936
404	8156	1913
405	8162	1889
406	8168	1866
407	8176	1843
408	8182	1820
409	8192	1798
410	8198	1775
411	8206	1752
412	8213	1730
413	8219	1707
414	8226	1684
415	8233	1662
416	8241	1640
417	8247	1618
418	8255	1595
419	8261	1573
420	8269	1551
421	8275	1529
422	8281	1507
423	8289	1485
424	8296	1464
425	8304	1442
426	8310	1420
427	8317	1399
428	8325	1377
429	8331	1356
430	8340	1335
431	8347	1313
432	8354	1292
433	8360	1271
434	8366	1250
435	8375	1229
436	8381	1208
437	8390	1187
438	8397	1166
439	8403	1145
440	8409	1125
441	8416	1104
442	8422	1083
443	8429	1063
444	8440	1043
445	8446	1022
446	8452	1002
447	8459	981
448	8466	961
449	8472	941
450	8478	921
451	8486	901
452	8492	881
453	8499	861
454	8505	841
455	8512	821
456	8518	801
457	8524	781
458	8530	762
459	8538	742
460	8547	723
461	8554	703
462	8561	684
463	8568	664
464	8576	645
465	8584	626
466	8590	607
467	8595	587
468	8602	568
469	8609	549
470	8615	530
471	8621	511
472	8628	492
473	8636	473
474	8643	454
475	8650	436
476	8656	417
477	8661	398
478	8666	379
479	8672	361
480	8680	342
481	8686	324
482	8692	305
483	8699	287
484	8706	269
485	8712	250
486	8719	232
487	8728	214
488	8734	196
489	8741	178
490	8748	160
491	8755	142
492	8762	124
493	8768	106
494	8775	88
495	8782	70
496	8788	53
497	8795	35
498	8801	17
499	8807	0
